species,longitude,latitude
barbatus,-98.9673298,19.4545093
barbatus,-98.977159,19.16995
barbatus,-98.99094,19.797598
barbatus,-98.991069,19.328329
barbatus,-98.996703,19.3258
barbatus,-98.998062,20.097894
barbatus,-98.99813,19.326162
barbatus,-99.005,20.6484
barbatus,-99.017,20.16528
barbatus,-99.029167,20.083333
barbatus,-99.02917,20.08333
barbatus,-99.043616,19.214506
barbatus,-99.057222,19.588611
barbatus,-99.057222,19.588611
barbatus,-99.068297,19.356572
barbatus,-99.075273,19.59265
barbatus,-99.081772,19.590219
barbatus,-99.082412,19.579936
barbatus,-99.08268,19.576059
barbatus,-99.083427,20.017709
barbatus,-99.086914,19.345732
barbatus,-99.087129,19.344835
barbatus,-99.087919,19.344525
barbatus,-99.088578,19.32727
barbatus,-99.089706,19.591862
barbatus,-99.09,19.343889
barbatus,-99.09,20.0475
barbatus,-99.090093,19.345042
barbatus,-99.090176,19.345848
barbatus,-99.090339,19.608183
barbatus,-99.090599,19.34067
barbatus,-99.09092,19.603035
barbatus,-99.091782,19.344387
barbatus,-99.091812,19.344519
barbatus,-99.095121,19.607873
barbatus,-99.1,20.162222
barbatus,-99.1007,19.2525
barbatus,-99.104897,19.583279
barbatus,-99.106131,19.503396
barbatus,-99.1083,20.067
barbatus,-99.11,19.21
barbatus,-99.110879,19.507491
barbatus,-99.111937,19.605073
barbatus,-99.112812,19.507986
barbatus,-99.114258,19.507528
barbatus,-99.114303,19.507614
barbatus,-99.114988,19.608063
barbatus,-99.115526,19.564553
barbatus,-99.116389,20.613333
barbatus,-99.116514,19.556865
barbatus,-99.117148,19.233519
barbatus,-99.118727,19.209216
barbatus,-99.120339,19.603285
barbatus,-99.120476,19.612276
barbatus,-99.122552,20.001795
barbatus,-99.12639,20.17917
barbatus,-99.127237,19.586891
barbatus,-99.12778,20.05917
barbatus,-99.13167,19.58583
barbatus,-99.133912,19.603254
barbatus,-99.133974,19.527634
barbatus,-99.135963,19.252415
barbatus,-99.136628,19.26195
barbatus,-99.136711,19.261906
barbatus,-99.136811,19.261733
barbatus,-99.136878,19.261739
barbatus,-99.137254,19.258542
barbatus,-99.137871,19.222038
barbatus,-99.137878,19.258184
barbatus,-99.138474,19.260388
barbatus,-99.138603,19.257622
barbatus,-99.138778,19.257442
barbatus,-99.1391,19.257408
barbatus,-99.139122,19.257381
barbatus,-99.139633,19.257956
barbatus,-99.141572,19.250172
barbatus,-99.141667,19.275
barbatus,-99.141667,19.591667
barbatus,-99.141708,19.248919
barbatus,-99.141761,19.254656
barbatus,-99.141841,19.572092
barbatus,-99.142092,19.573248
barbatus,-99.142158,19.263089
barbatus,-99.142547,19.260142
barbatus,-99.144303,19.322088
barbatus,-99.144557,19.238426
barbatus,-99.149971,19.587387
barbatus,-99.150202,20.027032
