"species","longitude","latitude","geometry"
"flexuosus",-109.776703,33.030655,"POINT (-109.7767 33.03066)"
"flexuosus",-115.45183,36.165893,"POINT (-115.4518 36.16589)"
"flexuosus",-113.49534,37.151709,"POINT (-113.4953 37.15171)"
"flexuosus",-108.599083,33.024188,"POINT (-108.5991 33.02419)"
"flexuosus",-115.462543,36.068143,"POINT (-115.4625 36.06814)"
"flexuosus",-112.511729,37.006694,"POINT (-112.5117 37.00669)"
"flexuosus",-114.997903,36.452358,"POINT (-114.9979 36.45236)"
"flexuosus",-113.491028,37.119617,"POINT (-113.491 37.11962)"
"flexuosus",-111.088097,33.642845,"POINT (-111.0881 33.64285)"
"flexuosus",-116.296042,36.412045,"POINT (-116.296 36.41204)"
"flexuosus",-110.949367,33.644015,"POINT (-110.9494 33.64402)"
"flexuosus",-116.33031,36.454814,"POINT (-116.3303 36.45481)"
"flexuosus",-114.32373,34.348003,"POINT (-114.3237 34.348)"
"flexuosus",-115.13389,41.13944,"POINT (-115.1339 41.13944)"
"flexuosus",-113.05,37.3,"POINT (-113.05 37.3)"
"flexuosus",-114.35833,38.84139,"POINT (-114.3583 38.84139)"
"flexuosus",-112.031249,36.055512,"POINT (-112.0312 36.05551)"
"flexuosus",-115.16361,37.248996,"POINT (-115.1636 37.249)"
"flexuosus",-109.012111,36.978524,"POINT (-109.0121 36.97852)"
"flexuosus",-117.037355,34.352215,"POINT (-117.0374 34.35222)"
"flexuosus",-115.54083,36.24306,"POINT (-115.5408 36.24306)"
"flexuosus",-114.56833,36.66528,"POINT (-114.5683 36.66528)"
"flexuosus",-112.371181,36.898317,"POINT (-112.3712 36.89832)"
"flexuosus",-113.408963,37.164005,"POINT (-113.409 37.16401)"
"flexuosus",-111.57778,36.86806,"POINT (-111.5778 36.86806)"
"flexuosus",-110.850584,37.616216,"POINT (-110.8506 37.61622)"
"flexuosus",-117.424913,34.32833,"POINT (-117.4249 34.32833)"
"flexuosus",-116.98056,36.71722,"POINT (-116.9806 36.71722)"
"flexuosus",-113.88333,37.05528,"POINT (-113.8833 37.05528)"
"flexuosus",-113.28389,37.296832,"POINT (-113.2839 37.29683)"
"flexuosus",-115.44444,36.29472,"POINT (-115.4444 36.29472)"
"flexuosus",-113.294,36.1723,"POINT (-113.294 36.1723)"
"flexuosus",-113.590263,37.122575,"POINT (-113.5903 37.12257)"
"flexuosus",-116.712753,37.039122,"POINT (-116.7128 37.03912)"
